Nombre de lignes : 18
Nombre de mots : 442
Nombre de caractères : 2516
Nombre de mots distincts : 200

Liste des mots et fréquences
------------------------------------------------
ut                   : 12 occurrence(s)
kayak                : 1 occurrence(s)
quam,                : 1 occurrence(s)
accumsan             : 1 occurrence(s)
dui                  : 1 occurrence(s)
felis,               : 1 occurrence(s)
laoreet              : 1 occurrence(s)
metus.               : 1 occurrence(s)
consequat            : 1 occurrence(s)
vulputate            : 1 occurrence(s)
turpis,              : 1 occurrence(s)
diam                 : 1 occurrence(s)
nec.                 : 1 occurrence(s)
rutrum,              : 1 occurrence(s)
molestie             : 1 occurrence(s)
pellentesque,        : 1 occurrence(s)
condimentum          : 1 occurrence(s)
purus                : 1 occurrence(s)
proin                : 1 occurrence(s)
neque.               : 1 occurrence(s)
mi                   : 1 occurrence(s)
ullamcorper          : 1 occurrence(s)
pharetra.            : 1 occurrence(s)
facilisi.            : 1 occurrence(s)
urna                 : 1 occurrence(s)
congue               : 1 occurrence(s)
vestibulum.          : 1 occurrence(s)
posuere              : 1 occurrence(s)
aenean               : 1 occurrence(s)
est                  : 1 occurrence(s)
justo,               : 1 occurrence(s)
semper               : 1 occurrence(s)
massa                : 1 occurrence(s)
varius               : 1 occurrence(s)
id.                  : 1 occurrence(s)
sed.                 : 1 occurrence(s)
sapien.              : 1 occurrence(s)
fusce                : 1 occurrence(s)
orci,                : 1 occurrence(s)
eu.                  : 1 occurrence(s)
elementum,           : 1 occurrence(s)
mattis.              : 1 occurrence(s)
maecenas             : 1 occurrence(s)
nisi                 : 1 occurrence(s)
sem,                 : 1 occurrence(s)
ut,                  : 1 occurrence(s)
habitant             : 1 occurrence(s)
senectus             : 1 occurrence(s)
netus                : 1 occurrence(s)
fames                : 1 occurrence(s)
egestas.             : 1 occurrence(s)
nulla.               : 1 occurrence(s)
hendrerit            : 1 occurrence(s)
odio.                : 1 occurrence(s)
dictum,              : 1 occurrence(s)
apppa                : 1 occurrence(s)
consequat.           : 1 occurrence(s)
ultrices             : 1 occurrence(s)
feugiat.             : 1 occurrence(s)
rutrum               : 1 occurrence(s)
arcu.                : 1 occurrence(s)
molestie.            : 1 occurrence(s)
efficitur.           : 1 occurrence(s)
nam                  : 1 occurrence(s)
tempus.              : 1 occurrence(s)
non.                 : 1 occurrence(s)
yakak                : 1 occurrence(s)
dignissim.           : 1 occurrence(s)
maximus              : 1 occurrence(s)
lectus.              : 1 occurrence(s)
suspendisse          : 1 occurrence(s)
potenti.             : 1 occurrence(s)
diam,                : 1 occurrence(s)
est.                 : 1 occurrence(s)
finibus              : 1 occurrence(s)
scelerisque          : 1 occurrence(s)
ultricies.           : 1 occurrence(s)
euismod.             : 1 occurrence(s)
volutpat.            : 1 occurrence(s)
------------------------------------------------

